datatable_general_name	attributeName	code	definition
consumption	consumption_type	domestic	"The aquatic resource was produced and consumed within the same country, without being exported"
consumption	consumption_type	foreign step 1	The consuming country imported the aquatic resource directly from the producing country
consumption	consumption_type	foreign step 2	"The consuming country imported the aquatic resource from an intermediate exporter, meaning at least one re-export occurred between the producing and consuming country"
consumption	end_use	direct human consumption	Product is intended for human consumption (default classification for all HS 6-digit code not otherwise specified)
consumption	end_use	fishmeal	Product is intended for reduction into fishmeal or fish oil (hs6 code 230120)
consumption	end_use	other	"Product is not intended for direct human consumption or fishmeal production, including live fish and other non-food uses (hs6 codes 030110, 030111, 030119)"
consumption	habitat	inland	"Species harvested from freshwater environments (e.g., rivers, lakes, and ponds)"
consumption	habitat	marine	"Species harvested from saltwater environments, including brackish environments"
consumption	habitat	unknown	Habitat not determined
consumption	method	aquaculture	Farmed through controlled cultivation of aquatic organisms
consumption	method	capture	Wild-caught through fishing activities
consumption	method	unknown	Production method not determined
reference_hs6_taxa_resolution	match_category	NEC_by_taxa_match	"The same matching logic as an NEC match, but restricted to a specified taxonomic category (e.g., Salmonidae, NEC)."
reference_hs6_taxa_resolution	match_category	NEC_match	"Species that fall within a 4-digit heading but are not included as an explicit taxa match within that heading are matched to the associated ""not elsewhere considered"" (NEC) code."
reference_hs6_taxa_resolution	match_category	aquarium_trade_match	Species that have been identified as part of the global aquarium/ornamental trade.
reference_hs6_taxa_resolution	match_category	broad_commodity_match	"If no specific taxonomic information is included, then the match occurs based on the broad taxonomic groups."
reference_hs6_taxa_resolution	match_category	broad_taxa_match	"If no specific taxonomic information is included, then the match occurs based on the broad taxonomic groups."
reference_hs6_taxa_resolution	match_category	explicit_taxa_match	Species or higher taxonomic information related to the species is included in the code description.
reference_hs6_taxa_resolution	match_category	fmfo_match	"The hs6 pertains to fishmeal and fish oil products (HS heading 2301 or 1504). All taxa on the dedicated fmfo_species_list are initially assigned this category, then species flagged as primary_fishmeal == 1 are immediately upgraded to explicit_taxa_match."
reference_hs6	hs6_presentation		Blank when hs6 is a heading or aggregate code
reference_hs6	hs6_presentation	fats and oils	"Lipid extracts rendered or pressed from aquatic animals, including fish liver oils and other fish oils"
reference_hs6	hs6_presentation	fillet	Flesh cut from the sides of the animal
reference_hs6	hs6_presentation	"flours, meals, pellets"	"Highly processed solid forms, typically ground or compressed, fit or unfit for human consumption"
reference_hs6	hs6_presentation	livers and roes	Specific internal organs or reproductive products traded separately
reference_hs6	hs6_presentation	"non-fish, non-fmp form"	"Whole or portioned crustaceans, molluscs, and other aquatic invertebrates (e.g., shrimp, crab, squid, sea cucumbers) that are not fish and not fishmeal or feed products"
reference_hs6	hs6_presentation	other body parts	"Non-flesh edible anatomical components not classified elsewhere, including shark fins, fish heads, tails, and maws"
reference_hs6	hs6_presentation	other meat	"Flesh-based portions that do not qualify as fillets (e.g., minced fish meat and other fish meat not elsewhere classified)"
reference_hs6	hs6_presentation	whole	"Minimally processed, largely intact animal."
reference_hs6	hs6_state		Blank when hs6 is a heading or aggregate code
reference_hs6	hs6_state	fresh	Minimally processed and not frozen or preserved
reference_hs6	hs6_state	frozen	"Preserved by freezing, whether or not previously cooked"
reference_hs6	hs6_state	live	Animal is alive at the time of trade
reference_hs6	hs6_state	not for humans	"Product is derived from aquatic animals but is unfit or not intended for human consumption, destined for industrial or feed use"
reference_hs6	hs6_state	preserved	"Treated by non-freezing preservation methods including drying, salting, brining, or smoking, whether or not cooked before or during the smoking process"
reference_hs6	hs6_state	reduced	"Processed into extracted fats, oils, or their fractions, whether or not refined, but not chemically modified"
reference_production	habitat	inland	"Species harvested from freshwater environments (e.g., rivers, lakes, and ponds)."
reference_production	habitat	marine	"Species harvested from saltwater environments, including brackish environments."
reference_production	method	aquaculture	Farmed through controlled cultivation of aquatic organisms
reference_production	method	capture	Wild-caught through fishing activities
reference_sciname	aquarium		Blank or NA values in the Aquarium column indicate that FishBase or SeaLifeBase has no recorded aquarium trade status for that taxon
reference_sciname	aquarium	commercial	Regularly traded as an aquarium species in the commercial ornamental fish market
reference_sciname	aquarium	highly commercial	" Widely and frequently traded as an aquarium species, representing a major segment of the ornamental fish trade"
reference_sciname	aquarium	never/rarely	Not known to be traded or kept in aquariums
reference_sciname	aquarium	potential	Not currently traded as an aquarium species but considered to have potential for aquarium use
reference_sciname	aquarium	public aquariums	Kept in public aquariums but not commonly traded in the private aquarium market
trade	export_type	domestic	The product was produced and exported from the same country
trade	export_type	error	An export that cannot be explained by domestic or foreign export records
trade	export_type	foreign	"The product was imported from one country and subsequently exported to another country, or back to the original exporting country"
trade	habitat	inland	"Species harvested from freshwater environments (e.g., rivers, lakes, and ponds)."
trade	habitat	marine	"Species harvested from saltwater environments, including brackish environments."
trade	habitat	unknown	Habitat not determined
trade	method	aquaculture	Farmed through controlled cultivation of aquatic organisms
trade	method	capture	Wild-caught through fishing activities
trade	method	unknown	Production method not determined
