attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
hs_version		categorical				
year		numeric	!Add units here!			
prod_country_iso3c		categorical				
exporter_iso3c		categorical				
consumer_iso3c		categorical				
consumption_type		categorical				
sciname		categorical				
sciname_hs_modified		categorical				
habitat		categorical				
method		categorical				
end_use		categorical				
consumption_live_t		numeric	!Add units here!			
consumption_live_t_capped		numeric	!Add units here!			
consumption_percap_live_kg		numeric	!Add units here!			
consumption_percap_live_kg_capped		numeric	!Add units here!			
